@relation Performance
@attribute 'testcase' string
@attribute 'instructions-per-cycle' numeric
@attribute 'cpu-cycles' numeric
@attribute 'instructions' numeric
@attribute 'cache-miss-rate' numeric
@attribute 'cache-references' numeric
@attribute 'cache-misses' numeric
@attribute 'branch-miss-rate' numeric
@attribute 'branch-instructions' numeric
@attribute 'branch-misses' numeric
@attribute 'ilp' numeric
@attribute 'ilp-offline' numeric
@attribute 'cbr-count-ratio' numeric
@attribute 'fp-count-ratio' numeric
@attribute 'mem-r-count-ratio' numeric
@attribute 'mem-w-count-ratio' numeric
@attribute 'mem-count-ratio' numeric
@attribute 'cbr-count-exec-ratio' numeric
@attribute 'fp-count-exec-ratio' numeric
@attribute 'mem-r-count-exec-ratio' numeric
@attribute 'mem-w-count-exec-ratio' numeric
@attribute 'mem-count-exec-ratio' numeric
@data
./anagram,0.9221,2337721,2155629,0.004971,38624,192,0.045287,366707,16607,2.6108,2.2302,0.093295,0.000000,0.300456,0.329701,0.630157,0.152458,0.000000,0.336809,0.119545,0.456353
./analemma,1.1842,71277286,84404756,0.004962,148738,738,0.013317,15074825,200757,2.2550,2.3195,0.124361,0.029794,0.318096,0.245582,0.563678,0.118998,0.035264,0.325744,0.217415,0.543158
./asa005_prb,0.7200,1464154,1054236,0.006447,24971,161,0.061454,188727,11598,2.3902,2.2876,0.120751,0.057737,0.318718,0.240183,0.558901,0.134575,0.045262,0.323258,0.184437,0.507695
./asa006_prb,0.8873,2010396,1783732,0.000725,24811,18,0.066359,226902,15057,1.9068,2.2272,0.123078,0.031757,0.327346,0.235810,0.563156,0.084598,0.193882,0.478510,0.143190,0.621700
./asa007_prb,0.8406,1912404,1607617,0.000616,24350,15,0.073368,206726,15167,1.8252,2.2525,0.125678,0.028666,0.330634,0.236537,0.567171,0.086550,0.196674,0.496082,0.143514,0.639596
./asa032_prb,0.6943,1363977,947035,0.000497,24163,12,0.066358,169052,11218,2.4082,2.3054,0.121748,0.047946,0.316397,0.234741,0.551137,0.143150,0.032809,0.327965,0.173381,0.501346
./asa047_prb,0.8418,2325411,1957592,0.011856,24375,289,0.061926,243564,15083,1.6023,2.1806,0.117180,0.057480,0.345240,0.240372,0.585612,0.086899,0.259273,0.574504,0.137179,0.711683
./asa058_prb,0.5832,1137570,663452,0.000340,23538,8,0.079633,119008,9477,2.6237,2.3744,0.131811,0.000000,0.312346,0.244439,0.556785,0.183197,0.000000,0.362885,0.098087,0.460972
./asa063_prb,0.8108,1609821,1305254,0.000694,24480,17,0.055227,234253,12937,2.3652,2.3103,0.124159,0.041284,0.316667,0.236468,0.553135,0.132463,0.061762,0.321384,0.188797,0.510181
./asa066_prb,0.8051,1490175,1199723,0.000411,24322,10,0.054291,215633,11707,2.4056,2.3168,0.123738,0.038123,0.313060,0.241418,0.554479,0.136896,0.016803,0.315491,0.190379,0.505870
./asa076_prb,0.8135,1723716,1402236,0.000364,24743,9,0.052402,254952,13360,2.3514,2.3036,0.122041,0.050492,0.314940,0.240393,0.555334,0.133889,0.044804,0.317217,0.191225,0.508442
./asa091_prb,0.5837,2838684,1656897,0.000599,25025,15,0.048722,235621,11480,1.9729,2.2442,0.112610,0.118496,0.327137,0.235484,0.562621,0.078768,0.416115,0.366141,0.192687,0.558827
./asa103_prb,0.6380,1220803,778888,0.000593,23622,14,0.072669,140142,10184,2.4744,2.3413,0.127891,0.013034,0.311936,0.240298,0.552234,0.155566,0.012479,0.334779,0.153267,0.488046
./asa109_prb,0.7954,1841252,1464461,0.000362,24850,9,0.050703,258230,13093,2.3162,2.2908,0.118369,0.095020,0.315110,0.232365,0.547475,0.121723,0.140685,0.322335,0.190449,0.512783
